date,rsi_sma,price,amount,cash_before,cash_after
2018-10-17,32.25090749801602,325.3236529997646,150.0,2490.0,2340.0
2018-11-05,38.905237704333544,321.18160381373303,150.0,2370.0,2220.0
2018-12-17,39.298227781098596,306.57652374879365,150.0,2310.0,2160.0
2019-01-03,36.719394460145864,300.2616288833732,150.0,2190.0,2040.0
2019-05-17,43.67856766682928,348.613116570411,150.0,2280.0,2130.0
2019-06-03,37.30377406507224,336.315837859618,150.0,2160.0,2010.0
2019-08-19,43.83606728845554,353.07013415630223,150.0,2160.0,2010.0
2020-03-03,29.05949708339325,367.695285888689,150.0,2370.0,2220.0
2020-03-17,32.06933011712681,325.52394786356757,150.0,2250.0,2100.0
2020-04-03,44.3877944224543,324.190561273903,150.0,2130.0,1980.0
2020-11-03,42.42351869441219,414.1554320526916,150.0,2370.0,2220.0
2021-10-04,41.94349621560137,511.607086916184,150.0,2820.0,2670.0
2022-02-03,40.18745052655492,537.51767467943,150.0,2880.0,2730.0
2022-03-03,42.2074448961143,522.7447086169285,150.0,2790.0,2640.0
2022-05-03,37.345598276199446,510.13600438740167,150.0,2760.0,2610.0
2022-05-17,36.26339051209375,499.3285078353579,150.0,2640.0,2490.0
2022-06-17,35.19093729177695,452.9672324895675,150.0,2550.0,2400.0
2022-09-19,44.10596886100945,494.386315267659,150.0,2520.0,2370.0
2022-10-03,31.13594278509001,485.08577378780024,150.0,2400.0,2250.0
2022-10-17,38.92849884006818,487.74690064746125,150.0,2280.0,2130.0
2023-01-03,43.527883957489074,497.8197795448172,150.0,2280.0,2130.0
2023-03-03,44.88418344157377,529.7647208588477,150.0,2250.0,2100.0
2023-03-17,40.881200970573545,517.7952394510992,150.0,2130.0,1980.0
2023-08-17,43.967700638769266,573.6858829530435,150.0,2250.0,2100.0
2023-10-03,33.11671754895443,562.0531783312879,150.0,2160.0,2010.0
2023-11-03,42.37039732988843,582.5136152700591,150.0,2070.0,1920.0
2024-08-05,43.743091062514516,707.4860537345238,150.0,2430.0,2280.0
2025-03-03,41.51937100878762,835.699547744377,150.0,2670.0,2520.0
2025-03-17,33.349229108173134,807.8704323646045,150.0,2550.0,2400.0
2025-04-03,41.33192654925008,758.6472539976348,150.0,2430.0,2280.0
2025-04-17,44.28463488636771,725.426741517063,150.0,2310.0,2160.0
