date,equity,shares_value,cash_pool,contrib_cum,contrib_today
2004-01-02,2290.9519834808816,1810.9519834808818,480.0,1750.0,0.0
2004-01-05,2474.6474425323026,1964.6474425323026,510.0,1900.0,150.0
2004-01-06,2484.858421269986,1974.858421269986,510.0,1900.0,0.0
2004-01-07,2495.992429138272,1985.9924291382722,510.0,1900.0,0.0
2004-01-08,2487.20625989801,1977.20625989801,510.0,1900.0,0.0
2004-01-09,2462.278030657587,1952.2780306575871,510.0,1900.0,0.0
2004-01-12,2480.4023323091815,1970.4023323091815,510.0,1900.0,0.0
2004-01-13,2461.0861768303876,1951.0861768303873,510.0,1900.0,0.0
2004-01-14,2506.015635177405,1996.0156351774046,510.0,1900.0,0.0
2004-01-15,2520.715745822556,2010.715745822556,510.0,1900.0,0.0
2004-01-16,2532.718979511845,2022.7189795118452,510.0,1900.0,0.0
2004-01-20,2521.4408990965962,2011.4408990965962,510.0,1900.0,0.0
2004-01-21,2550.322060979772,2040.3220609797715,510.0,1900.0,0.0
2004-01-22,2536.8627781548635,2026.8627781548635,510.0,1900.0,0.0
2004-01-23,2557.015340891535,2047.015340891535,510.0,1900.0,0.0
2004-01-26,2584.0397031829098,2074.0397031829098,510.0,1900.0,0.0
2004-01-27,2553.042831146328,2043.042831146328,510.0,1900.0,0.0
2004-01-28,2560.6275390168253,2050.6275390168253,510.0,1900.0,0.0
2004-01-29,2568.3426372710533,2058.3426372710533,510.0,1900.0,0.0
2004-01-30,2558.5924371243586,2048.5924371243586,510.0,1900.0,0.0
2004-02-02,2587.023606409997,2077.023606409997,510.0,1900.0,0.0
2004-02-03,2762.318964258843,2222.318964258843,540.0,2050.0,150.0
2004-02-04,2740.854397129527,2200.854397129527,540.0,2050.0,0.0
2004-02-05,2754.2416409711186,2214.2416409711186,540.0,2050.0,0.0
2004-02-06,2750.8002211448343,2210.8002211448343,540.0,2050.0,0.0
2004-02-09,2763.434048167634,2223.434048167634,540.0,2050.0,0.0
2004-02-10,2775.491483618412,2235.491483618412,540.0,2050.0,0.0
2004-02-11,2771.3986397275403,2231.3986397275403,540.0,2050.0,0.0
2004-02-12,2770.7670091848254,2230.7670091848254,540.0,2050.0,0.0
2004-02-13,2764.7781493035122,2224.7781493035122,540.0,2050.0,0.0
2004-02-17,2946.0156676569054,2376.0156676569054,570.0,2200.0,150.0
2004-02-18,2958.5151107554007,2388.5151107554007,570.0,2200.0,0.0
2004-02-19,2958.808594450187,2388.808594450187,570.0,2200.0,0.0
2004-02-20,2965.898761742413,2395.898761742413,570.0,2200.0,0.0
2004-02-23,2958.2421468495604,2388.2421468495604,570.0,2200.0,0.0
2004-02-24,2942.4668135176526,2372.4668135176526,570.0,2200.0,0.0
2004-02-25,2964.9738283648935,2394.9738283648935,570.0,2200.0,0.0
2004-02-26,2980.6078111818506,2410.6078111818506,570.0,2200.0,0.0
2004-02-27,2966.4849017801644,2396.4849017801644,570.0,2200.0,0.0
2004-03-01,2994.4078138553855,2424.4078138553855,570.0,2200.0,0.0
2004-03-02,2992.1137246965864,2422.1137246965864,570.0,2200.0,0.0
2004-03-03,3170.5583523910736,2570.5583523910736,600.0,2350.0,150.0
2004-03-04,3164.1504468198677,2564.1504468198677,600.0,2350.0,0.0
2004-03-05,3150.003540864348,2550.003540864348,600.0,2350.0,0.0
2004-03-08,3111.2665345725795,2511.2665345725795,600.0,2350.0,0.0
2004-03-09,3114.5057605003117,2514.5057605003117,600.0,2350.0,0.0
2004-03-10,3071.7808878572664,2471.7808878572664,600.0,2350.0,0.0
2004-03-11,3026.4629174601155,2426.4629174601155,600.0,2350.0,0.0
2004-03-12,3088.9513651276748,2488.9513651276748,600.0,2350.0,0.0
2004-03-15,3057.7045457732434,2457.7045457732434,600.0,2350.0,0.0
2004-03-16,3070.7449845409433,2470.7449845409433,600.0,2350.0,0.0
2004-03-17,3289.6163293566965,2809.6163293566965,480.0,2650.0,300.0
2004-03-18,3263.91972944045,2783.91972944045,480.0,2650.0,0.0
2004-03-19,3235.3936020327387,2755.3936020327387,480.0,2650.0,0.0
2004-03-22,3203.0675224924535,2723.0675224924535,480.0,2650.0,0.0
2004-03-23,3195.4937248152637,2715.4937248152637,480.0,2650.0,0.0
2004-03-24,3210.581322940341,2730.581322940341,480.0,2650.0,0.0
2004-03-25,3229.7706093671827,2749.7706093671827,480.0,2650.0,0.0
2004-03-26,3206.1121120282005,2726.1121120282005,480.0,2650.0,0.0
2004-03-29,3224.913516635178,2744.913516635178,480.0,2650.0,0.0
2004-03-30,3227.4441583390208,2747.4441583390208,480.0,2650.0,0.0
2004-03-31,3238.610305983606,2758.610305983606,480.0,2650.0,0.0
2004-04-01,3250.3224707678114,2770.3224707678114,480.0,2650.0,0.0
2004-04-02,3285.7796472372665,2805.7796472372665,480.0,2650.0,0.0
2004-04-05,3481.4142301524525,2971.4142301524525,510.0,2800.0,150.0
2004-04-06,3464.8913316831163,2954.8913316831163,510.0,2800.0,0.0
2004-04-07,3457.272790636057,2947.272790636057,510.0,2800.0,0.0
2004-04-08,3484.910812605684,2974.910812605684,510.0,2800.0,0.0
2004-04-12,3499.543577569999,2989.543577569999,510.0,2800.0,0.0
2004-04-13,3474.500609051197,2964.500609051197,510.0,2800.0,0.0
2004-04-14,3499.4529422386126,2989.4529422386126,510.0,2800.0,0.0
2004-04-15,3487.0090414755477,2977.0090414755477,510.0,2800.0,0.0
2004-04-16,3513.7340444764236,3003.7340444764236,510.0,2800.0,0.0
2004-04-19,3693.9573362573624,3153.9573362573624,540.0,2950.0,150.0
2004-04-20,3665.237456000928,3125.237456000928,540.0,2950.0,0.0
2004-04-21,3694.0680385744863,3154.0680385744863,540.0,2950.0,0.0
2004-04-22,3726.0637672402254,3186.0637672402254,540.0,2950.0,0.0
2004-04-23,3741.1428331581233,3201.1428331581233,540.0,2950.0,0.0
2004-04-26,3718.3192229329093,3178.3192229329093,540.0,2950.0,0.0
2004-04-27,3721.808839499726,3181.808839499726,540.0,2950.0,0.0
2004-04-28,3733.817247595011,3193.817247595011,540.0,2950.0,0.0
2004-04-29,3698.881657626908,3158.881657626908,540.0,2950.0,0.0
2004-04-30,3672.478741283697,3132.478741283697,540.0,2950.0,0.0
