date,equity,shares_value,cash_pool,contrib_cum,contrib_today
2004-03-26,3325.2204037548304,2755.2204037548304,570.0,2680.0,0.0
2004-03-29,3344.223968964869,2774.223968964869,570.0,2680.0,0.0
2004-03-30,3346.7813493972913,2776.7813493972913,570.0,2680.0,0.0
2004-03-31,3358.0667281254287,2788.0667281254287,570.0,2680.0,0.0
2004-04-01,3369.9028292655134,2799.9028292655134,570.0,2680.0,0.0
2004-04-02,3405.738886650738,2835.738886650738,570.0,2680.0,0.0
2004-04-05,3601.539847301857,3001.539847301857,600.0,2830.0,150.0
2004-04-06,3584.849429894569,2984.849429894569,600.0,2830.0,0.0
2004-04-07,3577.1539428363026,2977.1539428363026,600.0,2830.0,0.0
2004-04-08,3605.0706781634963,3005.0706781634963,600.0,2830.0,0.0
2004-04-12,3619.8526968379297,3019.8526968379297,600.0,2830.0,0.0
2004-04-13,3594.5558205957136,2994.5558205957136,600.0,2830.0,0.0
2004-04-14,3619.7632543605755,3019.7632543605755,600.0,2830.0,0.0
2004-04-15,3607.1922788973634,3007.1922788973634,600.0,2830.0,0.0
2004-04-16,3634.186720624581,3034.186720624581,600.0,2830.0,0.0
2004-04-19,3814.4122761985823,3184.4122761985823,630.0,2980.0,150.0
2004-04-20,3785.4172998340878,3155.4172998340878,630.0,2980.0,0.0
2004-04-21,3814.525643795644,3184.525643795644,630.0,2980.0,0.0
2004-04-22,3846.831300215588,3216.831300215588,630.0,2980.0,0.0
2004-04-23,3862.0543727553095,3232.0543727553095,630.0,2980.0,0.0
2004-04-26,3839.0113280586534,3209.0113280586534,630.0,2980.0,0.0
2004-04-27,3842.534642277923,3212.534642277923,630.0,2980.0,0.0
2004-04-28,3854.65836948243,3224.65836948243,630.0,2980.0,0.0
2004-04-29,3819.38704772152,3189.38704772152,630.0,2980.0,0.0
2004-04-30,3792.7272227796,3162.7272227796,630.0,2980.0,0.0
2004-05-03,4010.609600283006,3530.609600283006,480.0,3310.0,330.0
2004-05-04,4004.6928062683683,3524.6928062683683,480.0,3310.0,0.0
2004-05-05,4030.962443244807,3550.962443244807,480.0,3310.0,0.0
2004-05-06,4010.934185269679,3530.934185269679,480.0,3310.0,0.0
2004-05-07,3969.661508842606,3489.661508842606,480.0,3310.0,0.0
2004-05-10,3953.521955030531,3473.521955030531,480.0,3310.0,0.0
