date,rsi_sma,price,amount,regime,vix,threshold,cash_before,cash_after
2016-02-17,41.62543122163516,227.32867904279198,180,NEUTRAL,22.309999465942383,45,1140.0,960.0
2016-09-19,41.25878100745701,243.14302904888137,180,NEUTRAL,15.529999732971191,45,1320.0,1140.0
2016-11-03,39.15508362970177,241.38765195591637,180,NEUTRAL,22.079999923706055,45,1230.0,1050.0
2018-04-03,38.61443188729952,299.44699820716414,180,NEUTRAL,21.100000381469727,45,2010.0,1830.0
2018-07-03,43.74755158690865,318.9188851323628,180,NEUTRAL,16.139999389648438,45,2010.0,1830.0
2018-10-17,32.25110518986692,325.32373195240234,180,NEUTRAL,17.399999618530273,45,2010.0,1830.0
2018-11-05,38.905302051565435,321.1816637839822,180,NEUTRAL,19.959999084472656,45,1860.0,1680.0
2018-12-17,39.2981283374699,306.57656460542313,180,BEAR,24.520000457763672,48,1770.0,1590.0
2019-01-03,36.719351629180245,300.26154568513545,210,BEAR,25.450000762939453,48,1620.0,1410.0
2019-05-17,43.67856208940565,348.61307548764916,180,NEUTRAL,15.960000038146973,45,1650.0,1470.0
2019-06-03,37.30377895497725,336.31575533886695,180,NEUTRAL,18.860000610351562,45,1500.0,1320.0
2020-03-03,29.059595202327266,367.69532655366623,210,NEUTRAL,36.81999969482422,45,1830.0,1620.0
2020-03-17,32.069358307684965,325.5239906205262,210,BEAR,75.91000366210938,48,1650.0,1440.0
2020-04-03,44.38780230099554,324.1905397143016,210,BEAR,46.79999923706055,48,1470.0,1260.0
2021-10-04,41.94343136479524,511.60712544462916,180,NEUTRAL,22.959999084472656,45,2250.0,2070.0
2022-02-03,40.18748147124762,537.5175972477891,180,NEUTRAL,24.350000381469727,45,2280.0,2100.0
2022-03-03,42.20744883192731,522.7447472097643,210,NEUTRAL,30.479999542236328,45,2160.0,1950.0
2022-05-03,37.34554257378678,510.1360829640652,210,BEAR,29.25,48,2070.0,1860.0
2022-05-17,36.26336146734403,499.328586265529,210,BEAR,26.100000381469727,48,1890.0,1680.0
2022-06-17,35.19093644226458,452.9671534258487,210,BEAR,31.1299991607666,48,1740.0,1530.0
2022-07-18,46.37242141651628,474.9178082733513,210,BEAR,25.299999237060547,48,1560.0,1350.0
2022-09-19,44.105946727346314,494.386315267659,210,BEAR,25.760000228881836,48,1440.0,1230.0
2022-10-03,31.13595294484225,485.0857317122979,210,BEAR,30.100000381469727,48,1260.0,1050.0
2022-10-17,38.928522065058075,487.74690064746125,210,BEAR,31.3700008392334,48,1080.0,870.0
2023-01-03,43.52786475159633,497.8197795448172,180,NEUTRAL,22.899999618530273,45,1020.0,840.0
2023-03-03,44.88418618760785,529.7647623468843,180,NEUTRAL,18.489999771118164,45,960.0,780.0
2023-03-17,40.8812297051876,517.7953650532083,210,NEUTRAL,25.510000228881836,45,810.0,600.0
2023-10-03,33.11657917341413,562.0531365945335,180,NEUTRAL,19.780000686645508,45,930.0,750.0
2023-11-03,42.37035173002947,582.5135733175465,150,NEUTRAL,14.90999984741211,45,810.0,660.0
2024-08-05,43.74309470403678,707.4860961023807,210,NEUTRAL,38.56999969482422,45,1170.0,960.0
2025-03-03,41.51933194968772,835.699547744377,180,NEUTRAL,22.780000686645508,45,1350.0,1170.0
2025-03-17,33.349193056573434,807.8704323646045,180,NEUTRAL,20.510000228881836,45,1200.0,1020.0
2025-04-03,41.33193220040239,758.6472539976348,210,BEAR,30.020000457763672,48,1050.0,840.0
2025-04-17,44.284635919047716,725.426741517063,210,BEAR,29.649999618530273,48,870.0,660.0
