date,equity,contributions
2025-09-02,2090.7513732865273,1950.0
2025-09-03,2257.755202850035,2100.0
2025-09-04,2278.044381774762,2100.0
2025-09-05,2275.0530895359134,2100.0
2025-09-08,2283.778620669923,2100.0
2025-09-09,2282.6053536926183,2100.0
2025-09-10,2297.7666833770104,2100.0
2025-09-11,2319.1874434807673,2100.0
2025-09-12,2313.928855797021,2100.0
2025-09-15,2327.139241176429,2100.0
2025-09-16,2313.0197632035356,2100.0
2025-09-17,2454.242521775799,2250.0
2025-09-18,2471.2913055148765,2250.0
2025-09-19,2487.4808833974794,2250.0
2025-09-22,2497.4736496307114,2250.0
2025-09-23,2491.610156875855,2250.0
2025-09-24,2486.2338048891975,2250.0
2025-09-25,2484.938781522196,2250.0
2025-09-26,2507.268239571673,2250.0
2025-09-29,2513.8100252531362,2250.0
2025-09-30,2519.296493917521,2250.0
2025-10-01,2529.2069130364353,2250.0
2025-10-02,2535.0300103447676,2250.0
2025-10-03,2688.8840569450595,2400.0
2025-10-06,2699.319561588433,2400.0
2025-10-07,2685.6530380294553,2400.0
2025-10-08,2702.984799670842,2400.0
2025-10-09,2695.501892751607,2400.0
2025-10-10,2634.7143923096305,2400.0
2025-10-13,2671.2677654708064,2400.0
2025-10-14,2675.7235030270836,2400.0
2025-10-15,2688.7510922606025,2400.0
2025-10-16,2670.6303068165466,2400.0
2025-10-17,2835.7896423525444,2550.0
2025-10-20,2859.142903506032,2550.0
2025-10-21,2862.5886687664247,2550.0
2025-10-22,2845.0479171496127,2550.0
2025-10-23,2855.5702683514623,2550.0
2025-10-24,2878.45466140042,2550.0
2025-10-27,2913.8297554346996,2550.0
2025-10-28,2921.1513219731887,2550.0
2025-10-29,2911.5882994924327,2550.0
2025-10-30,2880.062096102081,2550.0
2025-10-31,2897.7584034396587,2550.0
2025-11-03,3060.318980286442,2700.0
2025-11-04,3032.6738792116853,2700.0
2025-11-05,3053.034637947202,2700.0
2025-11-06,3020.577520064946,2700.0
2025-11-07,3025.5883632416326,2700.0
2025-11-10,3057.9936846785795,2700.0
2025-11-11,3061.0004063281467,2700.0
2025-11-12,3060.5852062903555,2700.0
2025-11-13,3008.4021681690933,2700.0
2025-11-14,3013.535139556506,2700.0
2025-11-17,3131.779520053005,2850.0
2025-11-18,3112.6361291289923,2850.0
2025-11-19,3110.116370660688,2850.0
2025-11-20,3075.28199612948,2850.0
